Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
PÜNCT,6.107,6.8,1794,N/A,2005,2.73,2,2,30,30,10,Abstract,N/A
Money!,6.106,6.54,2883,9.99,1999,1.54,3,5,30,30,10,Family,N/A
A Fistful of Meeples,6.105,7.13,1196,N/A,2019,1.97,2,4,30,30,14,Family,Strategy
Alien Artifacts,6.104,6.57,2737,19.49,2017,2.92,2,5,60,60,10,Strategy,N/A
Comanchería: The Rise and Fall of the Comanche Empire,6.104,8.01,667,N/A,2016,4.15,1,1,60,360,14,Wargames,N/A
"Edel, Stein & Reich",6.104,6.9,1519,N/A,2003,2.07,3,5,60,60,9,Strategy,N/A
Sleeping Queens,6.104,6.49,4308,10.99,2005,1.06,2,5,20,20,8,Children's,Family
Krazy Wordz: Nicht 100% jugendfrei,6.103,7.28,1035,N/A,2016,1.07,3,7,45,45,16,Party,N/A
The Great War,6.102,7.75,799,N/A,2015,2.68,2,2,60,60,N/A,Wargames,N/A
Now Boarding,6.102,7.03,1292,N/A,2018,2.17,2,5,30,60,10,Family,N/A
Safranito,6.101,6.9,1512,N/A,2010,1.74,2,4,30,45,10,Family,N/A
Hera and Zeus,6.101,6.48,3415,N/A,2000,2.05,2,2,30,30,12,Strategy,N/A
Helios,6.101,6.73,1890,44.66,2014,2.87,2,4,60,60,10,Strategy,N/A
Caesar & Cleopatra,6.101,6.4,4562,N/A,1997,1.91,2,2,60,60,10,Strategy,N/A
Ancient Terrible Things,6.101,6.75,2013,77.95,2014,2.08,2,4,60,60,14,Thematic,N/A
Hellapagos,6.101,6.62,2748,24.99,2017,1.30,3,12,20,20,8,Party,N/A
Asante,6.1,6.82,1659,N/A,2013,2.00,2,2,40,40,10,Family,Strategy
Quirky Circuits,6.1,7.2,1082,N/A,2019,1.79,2,4,15,30,7,Family,N/A
Wandering Towers,6.1,7.3,1034,60.98,2022,1.60,2,6,30,30,8,Family,N/A
Vaalbara,6.1,7.25,1087,19.99,2022,1.70,2,5,20,20,10,Family,N/A
Seas of Strife,6.099,7.28,989,12.99,2015,1.20,3,6,45,45,10,Family,N/A
Aqualin,6.099,6.97,1451,N/A,2020,1.57,2,2,20,20,10,Abstract,N/A
Mythic Mischief,6.099,7.65,866,119.99,2022,2.50,1,4,45,90,14,Abstract,N/A
Blitz Bowl,6.099,7.8,767,N/A,2018,2.15,2,2,30,60,8,Strategy,Thematic
Catapult Feud,6.098,7.14,1194,34.20,2021,1.11,2,2,20,30,7,Family,N/A
That's Life!,6.098,6.48,3322,N/A,2005,1.32,2,6,30,30,8,Family,N/A
Tournament at Avalon,6.098,7.37,968,24.99,2020,2.39,3,6,45,45,14,Strategy,N/A
"Silent Victory: U.S. Submarines in the Pacific, 1941-45",6.098,7.98,798,N/A,2016,2.84,1,2,120,180,12,Wargames,N/A
Blockers!,6.098,6.64,2164,N/A,2007,1.69,2,5,30,40,8,Abstract,N/A
Space Explorers,6.097,6.97,1518,29.99,2017,2.27,2,4,20,40,10,Family,N/A
Seize the Bean,6.097,7.58,852,N/A,2021,2.80,1,4,45,90,10,N/A,N/A
Micropolis,6.096,6.8,1715,N/A,2018,1.78,2,6,30,30,8,Family,N/A
Enchanters,6.096,7.09,1295,N/A,2016,1.90,2,4,30,60,14,Family,N/A
Powerboats,6.096,6.7,1897,N/A,2008,1.69,2,6,60,60,9,Family,Strategy
Exploding Kittens: Party Pack,6.096,7.1,1524,N/A,2017,1.03,2,10,15,15,7,Party,N/A
Fate of the Elder Gods,6.096,7.24,1072,N/A,2017,2.85,1,4,30,90,13,Strategy,N/A
El Capitán,6.096,6.76,1807,N/A,2007,2.92,2,5,75,75,10,Strategy,N/A
Lawyer Up,6.096,6.94,1452,N/A,2021,2.65,1,2,60,75,13,Thematic,N/A
The Name of the Rose,6.095,6.84,1640,N/A,2008,2.37,2,5,75,75,10,Family,N/A
The Grand Carnival,6.095,7.57,800,N/A,2020,2.25,1,4,45,60,12,Family,N/A
Wild: Serengeti,6.095,7.07,1337,99.99,2022,2.58,1,4,45,120,14,Family,Strategy
War Room,6.094,8.29,692,N/A,2019,3.46,2,6,120,360,14,Wargames,N/A
Modern Art Card Game,6.094,6.63,2219,N/A,2008,1.65,2,5,20,30,8,Family,N/A
Mini Express,6.094,7.33,980,44.86,2021,2.35,1,5,30,45,8,Strategy,N/A
Loot,6.094,6.3,6609,N/A,1992,1.38,2,8,20,20,10,Family,N/A
R-Eco,6.094,6.62,2256,N/A,2003,1.48,2,5,20,20,8,Family,N/A
Happy Pigs,6.094,6.79,1730,N/A,2013,2.32,2,6,30,45,8,Family,Strategy
Mercado de Lisboa,6.094,6.6,2480,80.54,2021,2.08,1,4,30,45,8,Family,N/A
Escape the Dark Sector,6.093,7.62,1107,46.79,2020,2.00,1,4,20,60,N/A,Thematic,N/A
Monza,6.092,6.61,2399,24.99,2000,1.05,2,6,10,15,5,Children's,N/A
Arena: The Contest,6.092,8.59,902,N/A,2019,2.82,1,8,45,90,14,Thematic,N/A
Boss Monster: The Dungeon Building Card Game,6.092,6.27,16491,N/A,2013,1.85,2,4,30,30,13,Family,N/A
Victorian Masterminds,6.092,6.88,1627,49.95,2019,2.15,2,4,45,60,14,Family,Strategy
The Lord of the Rings Trading Card Game,6.091,6.99,1546,N/A,2001,2.95,2,6,45,45,12,Customizable,N/A
Tokyo Highway,6.09,6.66,2192,N/A,2016,1.48,2,2,30,50,8,Family,N/A
Key to the City: London,6.09,7.0,1275,35.99,2016,2.83,2,6,90,120,14,Strategy,N/A
Sobek,6.09,6.63,2327,N/A,2010,1.84,2,4,40,40,8,Family,N/A
Autobahn,6.09,7.14,1202,55.30,2022,3.76,1,4,90,150,14,Strategy,N/A
Avenue,6.09,6.84,1567,N/A,2016,1.39,1,10,15,15,8,Family,N/A
Flying Colors,6.089,7.59,876,N/A,2003,3.03,1,4,240,240,12,Wargames,N/A
Dungeons & Dragons: Conquest of Nerath Board Game,6.089,6.92,1602,N/A,2011,2.64,2,4,120,240,12,Thematic,N/A
Cheating Moth,6.089,6.43,4454,16.99,2011,1.15,3,5,30,30,7,Party,N/A
